gender,year_study,current_stay,preference,pref_reasons,pref_afford,pref_proximity,pref_social,pref_amenities,pref_security,change_accommodation,satisfaction,prefer_closer,distance_affects_attendance,commute_mode,commute_walk,commute_bike,commute_bus,commute_taxi,proximity_focus,funding_source,changed_before,less_pref_due_cost,amenities_list,amenity_water,amenity_electricity,amenity_internet,amenity_laundry,amenity_aircon,amenity_cleanbath,issues_basic_services,water_supply,electricity_supply,internet_access,room_cleanliness,bathroom_facility,hostel_management,study_space_conducive,env_collaboration,social_influence,rating,security_personnel,security_cctv,security_fencing,security_checkin,security_none,experienced_theft,security_confidence,focus_feeling,mental_health,consistent_study_routine,study_elsewhere,study_hours
Female,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,No,5,Yes,Very much,Shuttle/Bus,0,0,1,0,5,Parents/Guardians,Yes,No,Water  Electricity Internet,1,1,1,0,0,0,Occasionally,3,5,5,4,5,5,Yes,4,No,5,1,1,0,0,0,No,Excellent,5,5,Yes,No,2
Female,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,Maybe,3,Yes,Sometimes,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Frequently ,2,3,3,3,3,3,Not available foruse,3,No,4,1,1,0,0,0,No,Very good,3,3,Yes,No,4
Male,3,On-Campus,On-campus hostel,Affordability,1,0,0,0,0,Yes,3,Yes,Sometimes,Shuttle/Bus,0,0,1,0,3,Parents/Guardians,No,Yes,Internet,0,0,1,0,0,0,Frequently ,1,5,3,4,1,4,Yes,3,Yes,3,0,1,0,0,0,Yes,Fair,3,3,Sometimes,Yes,1
Female,4,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,No,3,Yes,Sometimes,Shuttle/Bus,0,0,1,0,1,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Occasionally,4,4,4,3,3,2,Not available foruse,1,Yes,4,0,0,0,0,1,Yes,Fair,3,2,Sometimes,Yes,2
Female,2,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,No,4,No,Not at all,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,Yes,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,1,5,4,2,3,1,Not available foruse,2,No,4,0,0,0,0,1,No,Good,3,3,Sometimes,No,2
Male,3,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,Maybe,4,No,Sometimes,Shuttle/Bus,0,0,1,0,3,Parents/Guardians,No,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,4,4,4,4,4,Yes,3,No,3,1,1,0,0,0,No,Good,3,3,Sometimes,No,5
Female,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,4,Yes,Very much,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Rarely,3,5,4,4,4,4,Not available foruse,3,Yes,4,1,1,0,1,0,Yes,Good,3,3,Sometimes,No,3
Female,4,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",1,1,0,1,1,No,5,Maybe,Sometimes,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,Yes,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,4,5,5,5,5,4,Not available foruse,2,Yes,4,1,1,0,0,0,No,Very good,4,4,Sometimes,No,3
Female,4,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,No,4,Maybe,Not at all,Walking,1,0,0,0,4,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,5,5,5,5,5,4,Yes,3,No,5,0,1,0,0,0,No,Very good,4,4,Sometimes,Yes,5
Female,2,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",1,1,0,1,1,No,5,Yes,Not at all,Walking Shuttle/Bus Taxi,1,0,1,1,1,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Occasionally,4,5,2,5,5,2,Yes,5,No,5,1,1,0,0,0,No,Fair,5,5,Sometimes,No,2
Female,4,Off-Campus,Off-campus hostel,Affordability,1,0,0,0,0,Maybe,3,Yes,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,Yes,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,5,4,3,3,4,3,Yes,3,Yes,1,0,0,0,0,1,Yes,Fair,3,4,Sometimes,Yes,5
Female,2,Off-Campus,Off-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,Yes,3,Maybe,Sometimes,Walking,1,0,0,0,2,Parents/Guardians,Yes,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Frequently ,1,4,4,3,2,3,Yes,3,Yes,5,0,0,1,1,0,Yes,Good,3,2,Sometimes,No,3
Male,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,Maybe,3,Yes,Sometimes,Taxi,0,0,0,1,3,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,4,5,1,2,2,1,Yes,4,Yes,3,1,1,1,0,0,Yes,Very good,1,4,No,No,0
Female,2,On-Campus,On-campus hostel,Proximity to lecture halls Security,0,1,0,0,1,Maybe,4,No,Not at all,Walking Shuttle/Bus,1,0,1,0,4,Parents/Guardians,No,No,Water  Electricity,1,1,0,0,0,0,Occasionally,3,5,1,3,3,1,No,3,No,3,1,0,0,0,0,Yes,Fair,4,3,Sometimes,No,5
Male,4,Off-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,Yes,3,Yes,Not at all,Shuttle/Bus,0,0,1,0,3,Parents/Guardians,Yes,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Rarely,5,4,3,3,4,2,Yes,3,No,3,0,1,0,0,0,Yes,Fair,3,3,Sometimes,Yes,3
Female,2,On-Campus,On-campus hostel,"Affordability Availability of amenities (Wi-Fi, water, etc.) Security",1,0,0,1,1,No,3,Maybe,Sometimes,Walking Taxi,1,0,0,1,3,Parents/Guardians,Yes,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Occasionally,2,4,4,4,4,3,Not available foruse,2,No,4,1,0,0,0,0,No,Good,4,4,Sometimes,Yes,4
Female,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,Maybe,3,Yes,Very much,Walking,1,0,0,0,2,Parents/Guardians,Yes,No,Electricity,0,1,0,0,0,0,Occasionally,3,3,3,5,4,2,Yes,3,No,1,1,0,0,0,0,Yes,Poor,4,4,Yes,No,4
Female,1,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,Yes,3,Maybe,Very much,Walking,1,0,0,0,5,Parents/Guardians,Yes,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,4,3,4,3,3,Yes,3,Yes,3,1,0,0,0,0,No,Very good,3,2,Sometimes,No,3
Male,3,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,No,5,Yes,Sometimes,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,4,4,4,3,2,4,Not available foruse,4,No,5,1,0,0,0,0,Yes,Good,4,4,Yes,No,24
Male,4,Off-Campus,Off-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,Maybe,4,Maybe,Not at all,Shuttle/Bus,0,0,1,0,2,Parents/Guardians,No,No,Water  Electricity Air conditioning/Fans Clean bathroom Facilities,1,1,0,0,1,1,Rarely,4,4,2,4,5,3,Yes,4,No,4,1,1,0,0,0,No,Very good,4,4,Yes,No,3
Female,4,On-Campus,Off-campus hostel,Affordability,1,0,0,0,0,No,3,No,Not at all,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,No,No,Water ,1,0,0,0,0,0,Frequently ,1,4,4,4,4,4,Yes,3,Yes,4,1,1,0,0,0,No,Good,3,4,Yes,No,5
Female,3,On-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Yes,2,Yes,Sometimes,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,Yes,No,Water  Electricity Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,0,1,1,1,Occasionally,2,5,3,3,3,4,Not available foruse,3,No,2,1,1,0,0,0,No,Good,3,3,Yes,No,1
Female,4,Off-Campus,Off-campus hostel,"Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",0,1,1,1,1,No,5,Yes,Not at all,Walking,1,0,0,0,5,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Rarely,5,5,4,5,5,5,Yes,4,No,5,1,1,1,0,0,No,Excellent,4,5,Yes,No,2
Female,3,On-Campus,On-campus hostel,"Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",0,0,1,1,1,No,4,No,Very much,Taxi,0,0,0,1,3,Parents/Guardians,Yes,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Frequently ,1,3,3,4,4,2,Not available foruse,3,No,2,1,1,0,0,0,No,Very good,2,3,Yes,No,3
Male,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,5,Maybe,Sometimes,Walking,1,0,0,0,5,Parents/Guardians,No,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,4,4,3,5,5,4,Yes,4,No,5,1,0,0,0,0,No,Very good,4,4,Yes,No,4
Female,2,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",1,1,0,1,1,No,3,Yes,Very much,Taxi,0,0,0,1,3,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,3,3,4,4,4,No,3,No,5,1,1,0,1,0,No,Very good,3,3,Yes,Yes,2
Female,2,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,Maybe,4,Maybe,Sometimes,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Frequently ,1,5,1,2,2,1,Not available foruse,3,No,5,1,0,0,0,0,No,Excellent,5,5,Sometimes,Yes,1
Male,1,On-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,Yes,4,Yes,Sometimes,Walking Shuttle/Bus,1,0,1,0,1,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Occasionally,1,2,3,3,3,2,Yes,5,No,4,1,1,0,0,0,No,Good,5,5,Sometimes,No,8
Female,2,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",1,1,0,1,1,No,2,Yes,Not at all,Walking Shuttle/Bus,1,0,1,0,5,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Occasionally,2,5,5,5,5,1,No,1,No,5,1,1,0,0,0,No,Good,3,2,Sometimes,Yes,7
Female,5,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,4,Maybe,Not at all,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,2,5,4,4,4,5,Yes,3,Yes,3,1,1,0,0,0,No,Very good,4,3,Yes,No,3
Male,3,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,No,5,No,Not at all,Shuttle/Bus,0,0,1,0,1,Parents/Guardians,No,No,Internet,0,0,1,0,0,0,Rarely,2,1,1,1,1,1,Yes,1,No,5,0,1,0,0,0,No,Excellent,5,1,Yes,Yes,7
Female,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,No,2,Maybe,Sometimes,Shuttle/Bus,0,0,1,0,1,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Occasionally,3,3,3,3,3,3,Yes,1,Yes,3,0,1,0,0,0,Yes,Fair,1,1,Sometimes,No,2
Male,3,Off-Campus,Off-campus hostel,Affordability Access to social life,1,0,1,0,0,No,5,Yes,Not at all,Walking,1,0,0,0,5,Parents/Guardians,Yes,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,5,5,5,4,4,5,Yes,4,Yes,2,1,1,1,0,0,No,Very good,4,4,Sometimes,Yes,3
Female,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,3,No,Not at all,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,3,4,4,4,4,3,Not available foruse,3,No,3,1,1,0,0,0,Yes,Good,3,3,Sometimes,Yes,3
Male,4,Off-Campus,Off-campus hostel,Affordability,1,0,0,0,0,Yes,3,Yes,Sometimes,Walking,1,0,0,0,5,Parents/Guardians,Yes,Yes,Water ,1,0,0,0,0,0,Occasionally,3,5,3,4,3,3,Yes,3,No,3,0,0,0,0,1,Yes,Fair,3,3,Sometimes,Yes,2
Male,4,On-Campus,On-campus hostel,"Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",0,0,1,1,1,No,4,No,Very much,Shuttle/Bus,0,0,1,0,2,Parents/Guardians,Yes,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,2,5,5,5,4,4,Not available foruse,2,Yes,4,1,1,0,1,0,Yes,Excellent,3,4,Sometimes,No,2
Male,2,On-Campus,On-campus hostel,"Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",0,1,1,1,1,No,5,No,Sometimes,Taxi,0,0,0,1,3,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services,1,1,1,1,0,0,Occasionally,4,5,4,4,5,5,Yes,4,No,5,1,0,0,0,0,Yes,Good,4,4,Yes,No,5
Female,2,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,Maybe,3,Maybe,Sometimes,Shuttle/Bus,0,0,1,0,5,Parents/Guardians,Yes,No,Electricity,0,1,0,0,0,0,Rarely,2,4,2,3,4,4,Yes,5,No,2,1,0,0,0,0,Yes,Good,4,3,Sometimes,No,3
Female,3,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,Maybe,4,Maybe,Very much,Shuttle/Bus,0,0,1,0,1,Parents/Guardians,No,Yes,Water ,1,0,0,0,0,0,Occasionally,3,1,1,4,4,5,Yes,1,No,2,1,0,0,0,0,No,Very good,2,2,Yes,No,3
Male,4,Off-Campus,Off-campus hostel,Access to social life,0,0,1,0,0,No,3,Maybe,Not at all,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,Yes,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,4,4,3,4,4,4,Yes,4,No,4,1,1,0,1,0,No,Very good,4,4,Yes,No,4
Female,4,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,No,5,Yes,Not at all,Shuttle/Bus,0,0,1,0,5,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,5,5,5,5,5,5,Yes,5,No,5,1,1,0,0,0,No,Very good,5,5,Yes,No,4
Female,2,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,Yes,1,No,Sometimes,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,Yes,Yes,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,2,5,5,4,4,4,Not available foruse,1,No,4,1,1,0,0,0,No,Good,3,3,Sometimes,Yes,2
Male,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,Maybe,3,Yes,Very much,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,Yes,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Frequently ,1,5,3,2,3,2,Not available foruse,1,No,3,1,1,0,1,0,No,Good,3,3,Sometimes,No,2
Female,1,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,Maybe,3,No,Sometimes,Walking Taxi,1,0,0,1,3,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,4,4,3,4,4,3,Not available foruse,3,No,3,0,0,0,0,1,No,Good,2,3,No,Yes,2
Female,4,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,No,3,No,Very much,Shuttle/Bus,0,0,1,0,3,Parents/Guardians,No,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,3,4,4,3,3,3,Not available foruse,3,Yes,1,1,0,0,0,0,No,Very good,2,2,Sometimes,Yes,3
Male,4,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,No,4,No,Not at all,Walking Shuttle/Bus,1,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,4,5,4,5,5,4,Yes,2,No,3,1,1,1,0,0,Yes,Fair,4,3,Yes,No,5
Male,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,Maybe,3,Maybe,Sometimes,Walking Shuttle/Bus Taxi,1,0,1,1,2,Parents/Guardians,Yes,No,Water  Electricity Air conditioning/Fans Clean bathroom Facilities,1,1,0,0,1,1,Occasionally,3,4,4,4,3,3,Not available foruse,4,No,4,1,0,0,0,0,Yes,Fair,3,2,Yes,No,6
Female,2,On-Campus,On-campus hostel,"Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",0,1,1,1,1,No,4,No,Not at all,Walking Shuttle/Bus,1,0,1,0,4,Parents/Guardians,No,No,Water  Internet,1,0,1,0,0,0,Occasionally,3,4,4,4,4,4,Yes,4,No,5,1,1,0,0,0,Yes,Very good,4,4,Yes,No,5
Male,4,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,No,3,No,Not at all,Walking Shuttle/Bus Taxi,1,0,1,1,1,Parents/Guardians,Yes,No,Water  Electricity Internet,1,1,1,0,0,0,Rarely,4,4,4,4,4,3,No,2,No,5,1,0,0,0,0,No,Good,5,4,Yes,No,6
Male,4,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,No,3,No,Not at all,Shuttle/Bus Taxi,0,0,1,1,5,Parents/Guardians,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Occasionally,4,4,3,5,5,4,Not available foruse,3,Yes,5,1,1,0,0,0,Yes,Good,5,4,Yes,Yes,6
Male,4,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,3,Maybe,Sometimes,Walking Shuttle/Bus,1,0,1,0,1,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Occasionally,3,5,5,3,5,4,Not available foruse,3,No,3,0,1,0,0,0,No,Good,3,3,Sometimes,Yes,5
Female,1,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.)",0,0,0,1,0,Maybe,3,No,Not at all,Shuttle/Bus,0,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,1,3,1,2,3,1,Yes,3,Yes,3,1,0,0,0,0,Yes,Fair,3,3,Sometimes,No,2
Male,2,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,3,Yes,Sometimes,Shuttle/Bus,0,0,1,0,3,Scholarship,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,1,4,4,3,2,3,Yes,3,No,3,1,0,0,0,0,Yes,Good,3,3,Sometimes,No,3
Male,1,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",1,1,0,1,1,No,1,No,Very much,Walking,1,0,0,0,3,Scholarship,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Occasionally,4,1,1,2,2,3,Yes,3,Yes,2,1,1,1,1,0,No,Very good,5,5,Yes,No,6
Male,2,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,No,3,Yes,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,Yes,No,Internet,0,0,1,0,0,0,Occasionally,3,2,2,3,2,2,No,1,Yes,3,1,1,0,0,0,Yes,Fair,3,3,No,Yes,2
Female,1,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,Maybe,4,Yes,Not at all,Shuttle/Bus,0,0,1,0,3,Scholarship,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,4,3,4,4,4,Yes,3,No,2,0,1,0,0,0,No,Fair,3,3,Sometimes,Yes,2
Male,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,Maybe,4,Maybe,Sometimes,Shuttle/Bus,0,0,1,0,3,Parents/Guardians,No,No,Water  Electricity Internet,1,1,1,0,0,0,Occasionally,3,4,4,3,3,3,Yes,2,No,3,1,1,0,0,0,No,Good,3,2,No,Yes,5
Female,3,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,No,4,No,Not at all,Shuttle/Bus Taxi,0,0,1,1,5,Scholarship,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,1,1,1,1,1,1,Yes,5,No,1,1,0,0,0,0,Yes,Fair,3,5,Yes,No,5
Male,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,No,4,Maybe,Not at all,Shuttle/Bus,0,0,1,0,2,Scholarship,No,No,Water  Electricity Internet Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,1,1,1,1,Occasionally,4,2,4,3,2,3,No,3,Yes,3,1,0,0,1,0,Yes,Good,4,1,Yes,Yes,3
Female,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,3,Yes,Very much,Shuttle/Bus,0,0,1,0,3,Scholarship,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,4,4,3,4,4,4,Yes,3,No,3,0,1,0,0,0,Yes,Poor,3,4,No,Yes,1
Male,3,On-Campus,On-campus hostel,Proximity to lecture halls,0,1,0,0,0,No,3,Yes,Sometimes,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,1,1,2,3,5,3,Yes,3,Yes,2,1,1,1,1,0,Yes,Very good,3,4,Yes,Yes,4
Male,3,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",0,1,0,1,1,No,4,Maybe,Very much,Walking Shuttle/Bus,1,0,1,0,4,Scholarship,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,2,2,3,3,3,3,Yes,3,Yes,3,1,1,0,1,0,Yes,Fair,4,3,Sometimes,No,5
Male,2,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,Yes,5,Yes,Sometimes,Shuttle/Bus,0,0,1,0,5,Scholarship,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,5,4,3,4,3,3,Yes,3,No,3,1,0,0,0,0,No,Fair,4,4,Yes,No,4
Male,2,On-Campus,On-campus hostel,"Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.)",0,1,0,1,0,Maybe,2,Yes,Sometimes,Walking Shuttle/Bus,1,0,1,0,4,Scholarship,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Frequently ,4,4,2,3,2,2,No,3,No,1,1,1,0,0,0,No,Poor,3,2,Sometimes,No,1
Female,1,On-Campus,On-campus hostel,Proximity to lecture halls Security,0,1,0,0,1,No,4,Maybe,Sometimes,Shuttle/Bus,0,0,1,0,4,Scholarship,No,No,Water  Electricity Internet,1,1,1,0,0,0,Rarely,3,4,4,5,4,4,Yes,4,No,3,1,1,0,0,0,Yes,Good,4,4,Yes,Yes,3
Female,3,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Availability of amenities (Wi-Fi, water, etc.) Security",1,1,0,1,1,No,4,Maybe,Not at all,Shuttle/Bus,0,0,1,0,5,Scholarship,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,4,4,4,5,4,3,Yes,4,Yes,5,1,1,0,0,0,No,Very good,5,4,Yes,No,4
Male,3,On-Campus,On-campus hostel,"Availability of amenities (Wi-Fi, water, etc.) Security",0,0,0,1,1,Maybe,4,No,Sometimes,Walking Shuttle/Bus,1,0,1,0,4,Scholarship,No,No,Water  Electricity Air conditioning/Fans,1,1,0,0,1,0,Occasionally,3,4,3,3,2,3,Yes,2,Yes,2,0,0,1,0,0,Yes,Very good,3,4,Yes,Yes,2
Male,4,On-Campus,On-campus hostel,"Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",0,1,1,1,1,No,3,Yes,Very much,Shuttle/Bus,0,0,1,0,4,Parents/Guardians,Yes,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Rarely,3,4,4,3,3,3,Yes,4,No,3,1,1,0,0,0,Yes,Good,3,3,Yes,Yes,5
Male,1,On-Campus,On-campus hostel,"Affordability Proximity to lecture halls Access to social life Availability of amenities (Wi-Fi, water, etc.) Security",1,1,1,1,1,No,5,Yes,Very much,Walking,1,0,0,0,4,Scholarship,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Rarely,5,5,5,5,5,5,Yes,5,No,5,1,1,0,1,0,No,Very good,4,4,Yes,No,3
